id,type,scene_name,music_path,scene_icon,scene_map,scene_desc,path,stronghold_0.x,stronghold_0.y,stronghold_1.x,stronghold_1.y,stronghold_2.x,stronghold_2.y,stronghold_3.x,stronghold_3.y,stronghold_4.x,stronghold_4.y,areas_0.x,areas_0.y,areas_0.z,areas_1.x,areas_1.y,areas_1.z,areas_2.x,areas_2.y,areas_2.z,areas_3.x,areas_3.y,areas_3.z,spawn_pos_0.x,spawn_pos_0.y,spawn_pos_0.z,spawn_pos_1.x,spawn_pos_1.y,spawn_pos_1.z,spawn_pos_2.x,spawn_pos_2.y,spawn_pos_2.z,spawn_pos_3.x,spawn_pos_3.y,spawn_pos_3.z,spawn_pos_4.x,spawn_pos_4.y,spawn_pos_4.z
id,type,scene_name,music_path,scene_icon,scene_map,scene_desc,path,stronghold_0.x,stronghold_0.y,stronghold_1.x,stronghold_1.y,stronghold_2.x,stronghold_2.y,stronghold_3.x,stronghold_3.y,stronghold_4.x,stronghold_4.y,areas_0.x,areas_0.y,areas_0.z,areas_1.x,areas_1.y,areas_1.z,areas_2.x,areas_2.y,areas_2.z,areas_3.x,areas_3.y,areas_3.z,spawn_pos_0.x,spawn_pos_0.y,spawn_pos_0.z,spawn_pos_1.x,spawn_pos_1.y,spawn_pos_1.z,spawn_pos_2.x,spawn_pos_2.y,spawn_pos_2.z,spawn_pos_3.x,spawn_pos_3.y,spawn_pos_3.z,spawn_pos_4.x,spawn_pos_4.y,spawn_pos_4.z
int,string,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int
1,Normal,scene_name_1,res/audio/chengzhen.audio,current_map+word_map_1,map_01+map_01,scene_detail_1,res/scene/zhucheng.scene,0,0,0,0,0,0,0,0,0,0,15099,49200,134800,115099,49200,134800,115099,49200,34800,15099,49200,34800,49709,51129,87379,66180,51134,59459,60727,51141,113514,49709,51141,87379,49709,51141,87379
10,Normal,scene_name_10,res/audio/music_heishi.audio,current_map+word_map_10,map_aodaman+dynamic_map_aodaman,scene_detail_10,res/scene/aodaman.scene,-110,-97,-207,-12,-5,3,104,-64,206,27,81699,99900,82199,81699,99900,172199,171699,99900,172199,171699,99900,82199,101309,92776,146529,101113,92736,145541,101250,92612,147719,100016,92827,145925,99931,92725,147162
10002,Normal,scene_name_2,res/audio/main_day.audio,current_map+word_map_1,map_01+map_01,scene_detail_2,res/scene/aierwensenlin.scene,0,0,0,0,0,0,0,0,0,0,5199,51930,-2500,-5000,57319,179100,143300,52689,172899,137699,51400,-6099,48272,51237,34273,47994,51215,33173,48550,51260,35378,49428,51232,34573,49151,51209,33468
10004,Normal,scene_name_4,res/audio/music_sikuang.audio,current_map+word_map_1,map_01+map_01,scene_detail_4,res/scene/sikuang.scene,0,0,0,0,0,0,0,0,0,0,-1399,42500,12300,19899,42500,139199,97569,42500,142339,94440,42500,16180,78489,42659,55848,77221,42659,55848,79758,42659,55848,77775,42495,54789,79102,42495,54789
10006,Normal,scene_name_6,res/audio/music_yinya.audio,current_map+word_map_1,map_01+map_01,scene_detail_6,res/scene/yingyachengbao.scene,0,0,0,0,0,0,0,0,0,0,89500,63709,102400,101099,63709,240199,215000,63709,243699,224300,63709,121600,184492,42817,170309,184214,42793,169204,184770,42840,171414,185626,42766,170654,185342,42743,169520
10007,Normal,scene_name_7,res/audio/music_zhaoze.audio,current_map+word_map_1,map_01+map_01,scene_detail_7,res/scene/tidaozhaoze.scene,0,0,0,0,0,0,0,0,0,0,57900,120000,31600,49299,120000,169899,200000,120000,160000,195100,120000,55000,98275,103432,98813,98644,103447,97735,97906,103418,99895,99449,103436,98609,99075,103419,99652
10009,Normal,scene_name_9,res/audio/music_zhaoze.audio,current_map+word_map_1,map_01+map_01,scene_detail_9,res/scene/tidaogaodi.scene,0,0,0,0,0,0,0,0,0,0,40000,70000,30000,40000,70000,120000,130000,70000,120000,130000,70000,30000,112735,47834,86943,113422,47897,87851,112044,47840,86031,112265,47857,88035,111574,47846,87103
1001,Normal,scene_name_1001,res/audio/music_sikuang.audio,current_map+word_map_1,map_01+map_01,scene_detail_1001,res/scene/sikuang.scene,0,0,0,0,0,0,0,0,0,0,-1399,42500,12300,19899,42500,139199,97569,42500,142339,94440,42500,16180,78489,42659,55848,77221,42659,55848,79758,42659,55848,77775,42495,54789,79102,42495,54789
