id,name
id,名字
int,string
1,毛泽东
2,周恩来
3,刘少奇
4,朱德
5,彭德怀
6,林彪
7,刘伯承
8,陈毅
9,贺龙
10,聂荣臻
11,徐向前
12,罗荣桓
13,叶剑英
14,李大钊
15,陈独秀
16,孙中山
17,孙文
18,孙逸仙
19,邓小平
20,陈云
21,江泽民
22,李鹏
23,朱镕基
24,李瑞环
25,尉健行
26,李岚清
27,胡锦涛
28,罗干
29,温家宝
30,吴邦国
31,曾庆红
32,贾庆林
33,黄菊
34,吴官正
35,李长春
36,吴仪
37,回良玉
38,曾培炎
39,曹刚川
40,唐家璇
41,华建敏
42,陈至立
43,张德江
44,俞正声
45,王乐泉
46,刘云山
47,王刚
48,王兆国
49,刘淇
50,贺国强
51,郭伯雄
52,胡耀邦
53,王兆国
54,习近平
55,李克强
56,张高丽
57,刘延东
58,彭丽媛
59,王岐山
60,华国锋
61,习大大
62,吴帮国
63,无帮国
64,无邦国
65,无帮过
66,瘟家宝
67,假庆林
68,甲庆林
69,假青林
70,离长春
71,习远平
72,袭近平
73,李磕墙
74,贺过墙
75,和锅枪
76,胡主席
77,习主席
78,毛主席
79,胡启立
80,马国瑞
81,马凯
82,刘立军
83,栗战书
84,韩正
85,赵乐际
86,布什
87,布莱尔
88,小泉
89,纯一郎
90,萨马兰奇
91,安南
92,阿拉法特
93,普京
94,默克尔
95,克林顿
96,里根
97,尼克松
98,林肯
99,杜鲁门
100,赫鲁晓夫
101,列宁
102,斯大林
103,马克思
104,恩格斯
105,金正日
106,金日成
107,萨达姆
108,胡志明
109,西哈努克
110,希拉克
111,撒切尔
112,阿罗约
113,曼德拉
114,卡斯特罗
115,富兰克林
116,华盛顿
117,艾森豪威尔
118,拿破仑
119,亚历山大
120,路易
121,拉姆斯菲尔德
122,劳拉
123,鲍威尔
124,奥巴马
125,梅德韦杰夫
126,金正恩
127,安倍晋三
128,特朗普
129,赫尔曼·戈林
130,波多野结衣
131,水晶冰
132,虐杀儿童
133,戈壁
134,本拉登
135,奥马尔
136,柴玲
137,达赖
138,达赖喇嘛
139,江青
140,张春桥
141,姚文元
142,王洪文
143,东条英机
144,希特勒
145,墨索里尼
146,冈村秀树
147,冈村宁次
148,高丽朴
149,赵紫阳
150,王丹
151,沃尔开西
152,李洪志
153,李大师
154,赖昌星
155,马加爵
156,班禅
157,额尔德尼
158,山本五十六
159,阿扁
160,阿扁万岁
161,热那亚
162,薄熙来
163,周永康
164,王立军
165,令计划
166,默罕默德
167,徐才厚
168,粥永康
169,轴永康
170,肘永康
171,周健康
172,粥健康
173,周小康
174,陈良宇
175,李登辉
176,连战
177,宋楚瑜
178,吕秀莲
179,郁慕明
180,蒋介石
181,蒋中正
182,蒋经国
183,马英九
184,新疆势力
185,法。轮。功
186,吴德
187,李贵鲜
188,卢福坦
189,李继耐
190,祁培文
191,邱会作
192,刘澜涛
193,国民政府
194,杨尚昆
195,赵乐际
196,汪洋
197,法轮功
198,张春贤
199,范长龙
200,道教
201,多维
202,佛教
203,佛祖
204,释迦牟尼
205,如来
206,阿弥陀佛
207,观世音
208,普贤
209,文殊
210,地藏
211,河殇
212,回教
213,密宗
214,摩门教
215,穆罕默德
216,穆斯林
217,升天
218,圣母
219,圣战
220,耶和华
221,耶稣
222,伊斯兰
223,真主安拉
224,白莲教
225,天主教
226,基督教
227,东正教
228,伊斯兰国
229,大法
230,法轮
231,法轮功
232,瘸腿帮
233,真理教
234,真善忍
235,转法轮
236,自焚
237,走向圆满
238,黄大仙
239,风水
240,跳大神
241,神汉
242,神婆
243,真理教
244,大卫教
245,阎王
246,黑白无常
247,牛头马面
248,高丽棒子
249,回回
250,蒙古鞑子
251,台独
252,台独分子
253,台联
254,台湾民国
255,南蛮
256,老毛子
257,回民吃猪肉
258,蒙古独立
259,全能神
260,政治避难
261,浮夸风
262,丽春院
263,谋杀
264,杀人
265,吸毒
266,贩毒
267,赌博
268,拐卖
269,走私
270,卖淫
271,造反
272,监狱
273,强奸
274,轮奸
275,抢劫
276,先奸后杀
277,枪支弹药
278,下注
279,押大
280,押小
281,抽头
282,坐庄
283,赌马
284,赌球
285,筹码
286,老虎机
287,轮盘赌
288,安非他命
289,大麻
290,可卡因
291,海洛因
292,冰毒
293,摇头丸
294,杜冷丁
295,鸦片
296,罂粟
297,迷幻药
298,白粉
299,嗑药
300,卖枪支弹药
301,K粉
302,k粉
303,冰粉
304,毒品
305,偷窃
306,K药
307,賤貨
308,賤货
309,風騷
310,臺獨
311,殺人
312,强奸
313,强姦
314,风騷
315,屄
316,肏
317,屌
318,马的
319,马白勺
320,妈的
321,妈白勺
322,女马ㄉ
323,女马的
324,女马白勺
325,操你
326,操妳
327,操他
328,操人也
329,操她
330,操女也
331,干你
332,干妳
333,干他
334,干人也
335,干她
336,干女也
337,超你
338,超妳
339,超他
340,超人也
341,超她
342,超女也
343,屌你
344,屌我
345,屌妳
346,屌他
347,屌人也
348,屌她
349,屌女也
350,凸你
351,凸我
352,凸妳
353,凸他
354,凸人也
355,凸她
356,凸女也
357,插你
358,插他
359,插我
360,插她
361,插妳
362,臭你
363,臭妳
364,臭他
365,臭人也
366,臭她
367,臭女也
368,机八
369,鸡八
370,G八
371,Ｇ八
372,机巴
373,鸡巴
374,雞巴
375,G巴
376,Ｇ巴
377,机叭
378,鸡叭
379,G叭
380,Ｇ叭
381,机芭
382,鸡芭
383,G芭
384,Ｇ芭
385,机掰
386,鸡掰
387,G掰
388,Ｇ掰
389,机Y
390,机Ｙ
391,鸡Y
392,鸡Ｙ
393,机8
394,鸡８
395,靠爸
396,靠母
397,哭爸
398,哭母
399,靠北
400,老GY
401,老ＧＹ
402,干GY
403,干ＧＹ
404,操GY
405,操ＧＹ
