group_id,pos_id
组id,位置id
int,int
0,1000100000
0,1000100001
0,1000200000
0,1000200001
1,1000400000
1,1000400001
1,1000200000
1,1000200001
1,1000200002
2,1000400000
2,1000400001
2,1000200000
2,1000200001
2,1000200002
3,1000300101
3,1000300102
3,1000300103
3,1000300104
3,1000300105
3,1000300106
3,1000300107
3,1000300108
3,1000300109
3,1000300110
3,1000300111
3,1000300112
3,1000300113
3,1000300114
3,1000300115
3,1000300116
3,1000300117
3,1000300118
3,1000300119
3,1000300120
3,1000300121
3,1000300122
3,1000300123
3,1000300124
3,1000300125
3,1000300126
3,1000300127
3,1000300128
3,1000300129
3,1000300130
3,1000300131
3,1000300132
3,1000300133
3,1000300134
3,1000300135
3,1000300136
3,1000300137
3,1000300138
3,1000300139
3,1000300140
3,1000300141
3,1000300142
3,1000300143
3,1000300144
3,1000300145
3,1000300146
3,1000300147
3,1000300148
3,1000300149
3,1000300150
3,1000300151
3,1000300152
3,1000300153
3,1000300154
3,1000300155
3,1000300156
3,1000300157
3,1000300158
3,1000300159
3,1000300160
3,1000300161
3,1000300162
3,1000300163
3,1000300164
3,1000300165
3,1000300166
3,1000300167
3,1000300168
3,1000300169
3,1000300170
3,1000300171
3,1000300172
3,1000300173
3,1000300174
3,1000300175
3,1000300176
3,1000300177
3,1000300178
3,1000300179
3,1000300180
4,1000200000
4,1000200001
4,1000200002
4,1000200101
4,1000200102
4,1000200103
4,1000200104
4,1000200105
4,1000200106
4,1000200107
4,1000200108
4,1000200109
4,1000200110
4,1000200120
4,1000200119
4,1000200118
4,1000200117
4,1000200116
4,1000200115
4,1000200114
4,1000200113
4,1000200112
4,1000200111
4,1000200121
4,1000200122
4,1000200123
4,1000200124
4,1000200125
4,1000200126
4,1000200127
4,1000200128
4,1000200129
4,1000200130
4,1000200131
4,1000200132
4,1000200133
4,1000200134
4,1000200135
4,1000200136
4,1000200137
4,1000200138
4,1000200139
4,1000200140
4,1000200141
4,1000200142
4,1000200143
4,1000200144
4,1000200145
4,1000200146
4,1000200147
4,1000200148
4,1000200149
4,1000200150
4,1000200151
4,1000200152
4,1000200153
4,1000200154
4,1000200155
4,1000200156
4,1000200157
4,1000200158
4,1000200159
4,1000200160
4,1000200161
4,1000200162
4,1000200163
4,1000200164
4,1000200165
4,1000200166
4,1000200167
4,1000200168
4,1000200169
4,1000200170
4,1000200171
4,1000200172
4,1000200173
