id,market_id,common_1,count_group,open_level,off_level,gen_weight,item_id,common,item_count,price_type,price_value,day_limit_count,show_discount,show_hot,show_new,open,can_multi,name,common1,equip,prof
配置索引,商店类型（对应marketid）,注释,组类型,出现等级,消失等级,权重,道具id,注释,数量,购买道具ID,价格,限购次数,显示折扣（客户端）,热卖显示,新品显示,启用开关（1启用，0不启用[占坑]）,可否批量购买,切页名,注释,套装,职业
int,int,string,int,int,int,int,int,string,int,int,int,int,int,int,int,int,int,string,string,string,string
100001,0,宝石店-1级,-1,0,999,-1,30101001,1级红宝石,1,29910001,30000,99,0,1,0,1,1,market_name_0,1级宝石,"",""
100002,0,宝石店-1级,-1,0,999,-1,30102001,1级虎眼石,1,29910001,30000,99,0,1,0,1,1,market_name_0,1级宝石,"",""
100003,0,宝石店-1级,-1,0,999,-1,30103001,1级猫眼石,1,29910001,30000,99,0,1,0,1,1,market_name_0,1级宝石,"",""
100004,0,宝石店-1级,-1,0,999,-1,30104001,1级月亮石,1,29910001,30000,99,0,1,0,1,1,market_name_0,1级宝石,"",""
100005,0,宝石店-1级,-1,0,999,-1,30105001,1级翡翠石,1,29910001,30000,99,0,1,0,1,1,market_name_0,1级宝石,"",""
100006,0,宝石店-1级,-1,0,999,-1,30106001,1级绿玛瑙,1,29910001,30000,99,0,1,0,1,1,market_name_0,1级宝石,"",""
100007,0,宝石店-1级,-1,0,999,-1,30107001,1级暗影石,1,29910001,30000,99,0,1,0,1,1,market_name_0,1级宝石,"",""
100008,0,宝石店-1级,-1,0,999,-1,30108001,1级孔雀石,1,29910001,30000,99,0,1,0,1,1,market_name_0,1级宝石,"",""
100009,0,宝石店-1级,-1,0,999,-1,30109001,1级黄水晶,1,29910001,30000,99,0,1,0,1,1,market_name_0,1级宝石,"",""
100010,0,宝石店-2级,-1,0,999,-1,30101002,2级红宝石,1,29910001,90000,60,0,0,0,1,1,market_name_2,2级宝石,"",""
100011,0,宝石店-2级,-1,0,999,-1,30102002,2级虎眼石,1,29910001,90000,60,0,0,0,1,1,market_name_2,2级宝石,"",""
100012,0,宝石店-2级,-1,0,999,-1,30103002,2级猫眼石,1,29910001,90000,60,0,0,0,1,1,market_name_2,2级宝石,"",""
100013,0,宝石店-2级,-1,0,999,-1,30104002,2级月亮石,1,29910001,90000,60,0,0,0,1,1,market_name_2,2级宝石,"",""
100014,0,宝石店-2级,-1,0,999,-1,30105002,2级翡翠石,1,29910001,90000,60,0,0,0,1,1,market_name_2,2级宝石,"",""
