id,scene_id,position.x,position.y,position.z,angle,battle_scene,group_index
id,scene_id,position.x,position.y,position.z,angle,battle_scene,group_index
int,int,int,int,int,float,int,int
1000100000,1,65099,53110,84800,0,1,7
1000100001,1,66119,51990,94800,0,1,9
1000100002,1,70290,52610,85710,0,1,6
1000100003,1,70290,52209,80870,0,1,6
1000100004,1,72099,50490,80800,0,1,6
1000100005,1,75800,51870,82790,269.0836,1,6
1000100006,1,77629,51920,95809,263.8553,1,9
1000100007,1,30562,50779,83609,90.9742,1,1
1000100008,1,45102,50280,75736,357.1808,1,2
1000100009,1,41979,50564,96678,180.1923,1,10
1000100010,1,30649,50474,89389,92.86759,1,1
1000100011,1,30510,50280,92959,87.41545,1,1
1000100012,1,31289,50280,76830,357.0015,1,1
1000100013,1,63900,50312,114139,270.5309,1,8
1000100014,1,56110,50159,117260,227.6194,1,8
1000100015,1,54919,50993,101110,356.8844,1,10
1000100016,1,48388,50194,123180,152.0451,1,12
1000100017,1,40029,50389,112410,180.4762,1,11
1000100018,1,26750,49889,110889,270.218,1,11
1000100019,1,74593,50229,58153,271.6201,1,5
1000100020,1,66169,50229,55610,359.4568,1,5
1000100021,1,60091,50128,50185,270.8537,1,4
1000100022,1,52709,50128,63849,176.8316,1,2
1000100023,1,45259,50128,43189,358.9025,1,3
1000100024,1,34680,50340,62330,312.585,1,2
1000100025,1,32590,50340,45740,4.851776,1,3
1000100026,1,59149,50128,47620,304.4391,1,4
1000100027,1,68819,50229,55880,359.4568,1,5
1000100028,1,37819,50229,78600,359.4568,1,1
1000100029,1,41269,50229,107370,359.4568,1,11
1000100030,1,72699,50709,63799,269.2547,1,5
1000100031,1,59629,50709,63240,231.2277,1,4
1000100032,1,41970,50229,76290,15.85894,1,1
1000100101,1,66479,51260,57020,177.662,1,5
1000100102,1,65212,50909,58287,177.662,1,5
1000100103,1,69695,51326,61121,177.662,1,5
1000100104,1,69169,52308,68450,177.662,1,5
1000100105,1,68430,51319,73420,177.662,1,6
1000100106,1,71750,52529,79730,177.662,1,6
1000100107,1,72309,52218,83580,177.662,1,6
1000100108,1,70889,52389,88520,177.662,1,9
1000100109,1,67900,52699,93400,177.662,1,9
1000100110,1,72089,52138,93180,177.662,1,9
1000100111,1,67659,52639,84500,177.662,1,6
1000100112,1,72744,52298,90249,177.662,1,9
1000100113,1,75076,52010,95354,177.662,1,9
1000100114,1,75275,51926,95517,177.662,1,9
1000100115,1,68805,52533,93191,177.662,1,9
1000100116,1,75690,52740,95190,177.662,1,9
1000100117,1,60139,50720,114190,177.662,1,8
1000100118,1,60389,50951,111660,177.662,1,8
1000100119,1,64029,50500,118160,177.662,1,8
1000100120,1,60549,50369,113610,177.662,1,8
1000100121,1,65129,52938,84190,177.662,1,7
1000100122,1,72868,52080,89504,177.662,1,6
1000100123,1,75000,53371,94590,177.662,1,9
1000100124,1,67260,52760,93840,177.662,1,9
1000100125,1,64000,52458,94510,177.662,1,9
1000100126,1,50969,50465,89700,177.662,1,7
1000100127,1,73339,53649,93510,177.662,1,9
1000100128,1,49049,51220,118580,177.662,1,12
1000100129,1,50139,50240,116730,177.662,1,12
1000100130,1,65809,50389,108190,307.5716,1,8
1000100131,1,60799,53420,84290,177.662,1,7
1000100132,1,71283,52370,86183,277.2556,1,6
1000100133,1,73069,51959,88279,272.6897,1,6
1000100134,1,68114,53330,89546,177.662,1,9
1000100135,1,57680,52860,91700,294.7838,1,7
1000100136,1,65847,52880,99199,177.662,1,9
1000100137,1,53751,50709,108018,28.02865,1,10
1000100138,1,49799,50790,107000,320.0886,1,10
1000100139,1,46549,50721,106932,312.24,1,10
1000100140,1,51902,51336,87611,295.3889,1,7
1000100141,1,64909,52756,86700,334.8524,1,7
1000100142,1,54969,51799,88360,265.2098,1,7
1000100143,1,48329,52159,93100,244.235,1,7
1000100201,1,32630,50409,91110,1.797255,1,1
1000100202,1,34180,50409,91110,1.797255,1,1
1000100203,1,35720,50409,91110,1.797255,1,1
1000100204,1,34159,50409,89669,1.797255,1,1
1000100205,1,34159,50409,92930,1.797255,1,1
1000100206,1,32509,50409,92930,1.797255,1,1
1000100207,1,32509,50409,89430,1.797255,1,1
1000100208,1,35700,50409,89430,1.797255,1,1
1000100209,1,35700,50409,92910,1.797255,1,1
1000100211,1,46559,50560,62180,0,1,2
1000100212,1,46559,50560,58700,0,1,2
1000100213,1,43369,50560,58700,0,1,2
1000100214,1,43369,50560,62200,0,1,2
1000100215,1,45019,50560,62200,0,1,2
1000100216,1,45019,50560,58940,0,1,2
1000100217,1,46579,50560,60380,0,1,2
1000100218,1,45040,50560,60380,0,1,2
1000100219,1,43489,50560,60380,0,1,2
1000100221,1,43119,50510,50349,0,1,3
1000100222,1,44669,50510,50349,0,1,3
1000100223,1,46209,50510,50349,0,1,3
1000100224,1,44650,50510,48909,0,1,3
1000100225,1,44650,50510,52169,0,1,3
1000100226,1,43000,50510,52169,0,1,3
1000100227,1,43000,50510,48669,0,1,3
1000100228,1,46189,50510,48669,0,1,3
1000100229,1,46189,50510,52150,0,1,3
1000100231,1,57819,50500,60760,0,1,4
1000100232,1,57819,50500,57280,0,1,4
1000100233,1,54619,50500,57280,0,1,4
1000100234,1,54619,50500,60780,0,1,4
1000100235,1,56319,50500,60780,0,1,4
1000100236,1,56319,50500,57520,0,1,4
1000100237,1,57919,50500,58960,0,1,4
1000100238,1,56319,50500,58960,0,1,4
1000100239,1,54819,50500,58960,0,1,4
1000100241,1,61849,50389,57450,0,1,5
1000100242,1,63400,50389,57450,0,1,5
1000100243,1,64940,50389,57450,0,1,5
1000100244,1,63380,50389,56009,0,1,5
1000100245,1,63380,50389,59270,0,1,5
1000100246,1,61729,50389,59270,0,1,5
1000100247,1,61729,50389,55770,0,1,5
1000100248,1,64919,50389,55770,0,1,5
1000100249,1,64919,50389,59250,0,1,5
1000100251,1,72269,51950,91490,0,1,9
1000100252,1,72269,51950,88010,0,1,6
1000100253,1,69080,51950,88010,0,1,9
1000100254,1,69080,51950,91510,0,1,9
1000100255,1,70730,51950,91510,0,1,9
1000100256,1,70730,51950,88250,0,1,9
1000100257,1,72290,51950,89690,0,1,9
1000100258,1,70750,51950,89690,0,1,9
1000100259,1,69199,51950,89690,0,1,9
1000100261,1,60029,52020,89120,0,1,7
1000100262,1,61579,52020,89120,0,1,7
1000100263,1,63119,52020,89120,0,1,7
1000100264,1,61559,52020,87680,0,1,7
1000100265,1,61559,52020,90940,0,1,7
1000100266,1,59909,52020,90940,0,1,7
1000100267,1,59909,52020,87440,0,1,7
1000100268,1,63099,52020,87440,0,1,7
1000100269,1,63099,52020,90920,0,1,7
1000100271,1,57799,50290,114510,0,1,8
1000100272,1,57799,50290,111029,0,1,8
1000100273,1,54610,50290,111029,0,1,8
1000100274,1,54610,50290,114529,0,1,8
1000100275,1,56259,50290,114529,0,1,8
1000100276,1,56259,50290,111270,0,1,8
1000100277,1,57819,50290,112710,0,1,8
1000100278,1,56279,50290,112710,0,1,8
1000100279,1,54729,50290,112710,0,1,8
1000100033,1,49540,50159,116830,227.6194,1,12
1000100034,1,50200,50709,59020,231.2277,1,2
1000100035,1,37680,50389,107120,8.217349,1,11
1000100036,1,63459,51920,78819,354.0264,1,7
1000100037,1,32798,50280,96549,174.7324,1,1
1000100038,1,31190,50340,46459,87.26109,1,3
1000100039,1,73496,51920,78788,354.0264,1,6
1000100040,1,46599,50280,85209,181.5161,1,1
1000100041,1,40189,50280,96330,181.5161,1,1
1000100042,1,66540,51920,87129,272.0426,1,9
1000100043,1,63869,50312,111449,270.5309,1,8
1000100044,1,49720,50580,85279,273.1301,1,7
1000100045,1,77402,53319,88205,273.1301,1,6
1001000000,10,136565,94959,102660,0,10,2
1001000001,10,139300,95220,101529,0,10,2
1001000101,10,115389,94380,102690,0,10,1
1001000102,10,116690,94660,111160,221.6181,10,1
1001000103,10,121760,94830,111259,240.0023,10,1
1001000104,10,124479,94559,102330,0,10,1
1001000105,10,119959,94750,101619,0,10,1
1001000106,10,112190,94809,103459,0,10,1
1001000107,10,112979,94529,110150,183.0898,10,1
1001000108,10,117800,94690,102250,0,10,1
1001000109,10,127160,94410,109000,271.7952,10,1
1001000110,10,127110,94889,103160,320.1405,10,1
1001000111,10,147089,94740,100130,0,10,2
1001000112,10,144139,94449,100020,0,10,2
1001000113,10,151550,94580,102040,269.5581,10,2
